attempt_date,company,job_title,job_url,platform,status,submission_evidence,resume_used,answers_used,confirmation_url,confirmation_text,notes
2026-07-30,Hipp Health,Software Engineer - New Grad,https://jobs.ashbyhq.com/hipp/ea04e914-674c-4c05-b40a-7e8a035bad14/application,Ashby,Submitted,"Visible Success message: Your application was successfully submitted. We'll contact you if there are next steps.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; sponsorship answer bank",https://jobs.ashbyhq.com/hipp/ea04e914-674c-4c05-b40a-7e8a035bad14/application,"Success — Your application was successfully submitted. We'll contact you if there are next steps.","Prepared on 2026-07-28 and submitted on 2026-07-30. No login, CAPTCHA, or 2FA interruption occurred."
2026-07-30,Zettabyte,Software Engineer (New Grad),https://jobs.ashbyhq.com/zettabyte-space/50a9c6dc-7225-4ff0-a914-69d1dd325d6a/application,Ashby,Submitted,"Visible Success message: Your application was successfully submitted. We'll contact you if there are next steps.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; sponsorship answer bank; relocation preference",https://jobs.ashbyhq.com/zettabyte-space/50a9c6dc-7225-4ff0-a914-69d1dd325d6a/application,"Success — Your application was successfully submitted. We'll contact you if there are next steps.","Prepared on 2026-07-28 and submitted on 2026-07-30. No login, CAPTCHA, or 2FA interruption occurred."
2026-07-31,Eventual,"Software Engineer, New Grad",https://jobs.ashbyhq.com/eventualcomputing/becb5675-3480-4d2b-b126-2acad40fd088,Ashby,Submitted,"Visible Success message: Your application was successfully submitted. We'll contact you if there are next steps.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; LinkedIn URL; company-specific why answer",https://jobs.ashbyhq.com/eventualcomputing/becb5675-3480-4d2b-b126-2acad40fd088/application,"Success — Your application was successfully submitted. We'll contact you if there are next steps.","Submitted on 2026-07-31 in a visible browser session after the simple Ashby form was completed and revalidated."
2026-07-31,Quora,"Machine Learning Engineer, New Grad - Quora (Remote)",https://jobs.ashbyhq.com/quora/3eb7e80e-6a0d-41b6-8ee4-f62421c486e4,Ashby,Blocked,"No confirmation; the form returned corrections for School Name and selected answers after repeated safe retries.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; work authorization answer bank; AI project answer",,,"Attempted on Friday, July 31, 2026. The live form accepted much of the application, but several interactive controls did not persist reliably under automation, so no submission was counted."
2026-07-31,N1,New Grad Software Engineer (Backend Rust),https://jobs.ashbyhq.com/n1/a3e25c84-0846-454a-b2fc-a356c2a713bd,Ashby,Submitted,"Visible Success message: Your application was successfully submitted. We'll contact you if there are next steps.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; relocation preference; company-specific why answer",https://jobs.ashbyhq.com/n1/a3e25c84-0846-454a-b2fc-a356c2a713bd/application,"Success — Your application was successfully submitted. We'll contact you if there are next steps.","Submitted on Friday, July 31, 2026 after revalidating the email field and location selection in a visible browser session."
2026-07-31,N1,New Grad Software Engineer (Full Stack),https://jobs.ashbyhq.com/n1/73724fe2-9a93-4a60-b349-4fd3d2efa94a/application,Ashby,Submitted,"Visible Success message: Your application was successfully submitted. We'll contact you if there are next steps.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; relocation preference; company-specific why answer",https://jobs.ashbyhq.com/n1/73724fe2-9a93-4a60-b349-4fd3d2efa94a/application,"Success — Your application was successfully submitted. We'll contact you if there are next steps.","Submitted on Friday, July 31, 2026 after the short Ashby form was completed and the page showed an explicit success confirmation."
2026-07-31,Built Technologies,Software Engineer I - Internal Tooling,https://job-boards.greenhouse.io/getbuilt/jobs/4713164005,Greenhouse,Blocked,"No confirmation; the live Greenhouse form dropped basic required fields such as First Name, Last Name, Email, and Location at submit time under repeated safe retries.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; portfolio URL; transcript-ready education facts; company-specific long-form answers",,,"Attempted on Friday, July 31, 2026. The role was a strong fit, but the ATS did not preserve core field state reliably enough to reach a confirmed submission."
2026-07-31,Notion,"Software Engineer, Early Career",https://jobs.ashbyhq.com/notion/297b4ece-765f-4eea-b1b8-46057cb6501f,Ashby,Blocked,"No confirmation; after submit, the site responded: We couldn't submit your application. Your application submission was flagged as possible spam.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; truthful OPT disclosure; relocation preference; company-specific why answer",,,"Attempted on Friday, July 31, 2026. The form was completed and submitted, but the site returned an anti-spam block instead of an application confirmation."
2026-07-31,CLEAR,"Software Engineer, Infrastructure",https://job-boards.greenhouse.io/clear/jobs/7901600,Greenhouse,Submitted,"Confirmation page URL ended in /confirmation and the page thanked the candidate for applying to CLEAR.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; onsite willingness answer; sponsorship answer bank; LinkedIn URL",https://job-boards.greenhouse.io/clear/jobs/7901600/confirmation,"Thank you for applying to CLEAR. If your background is a match for this role, a member of our team will reach out to you in order to discuss next steps.","Submitted on Friday, July 31, 2026 after the Greenhouse form was completed and explicit confirmation was shown."
2026-07-31,Truveta,Software Engineer - Person Matching,https://job-boards.greenhouse.io/truveta/jobs/5817190004,Greenhouse,Blocked,"No confirmation; repeated safe retries still triggered required-field validation, especially around location/state persistence.",/Users/katiehuang/Downloads/Yun_s_Resume (1).pdf,"Candidate Profile basic fields; truthful OPT disclosure via explicit F1/CPT/OPT option; LinkedIn URL; portfolio URL",,,"Attempted on Friday, July 31, 2026. The live Greenhouse form remained in a validation state after repeated safe retries, so no submission was counted."
