date,company,job_title,job_url,blocker_category,what_happened,why_blocked,can_retry,next_retry_strategy,user_action_needed,status
2026-07-31,Quora,"Machine Learning Engineer, New Grad - Quora (Remote)",https://jobs.ashbyhq.com/quora/3eb7e80e-6a0d-41b6-8ee4-f62421c486e4,ATS state persistence,"The live Ashby form repeatedly dropped School Name and some selected answers at submit time even after the values were re-entered and reselected.",The workflow could not safely produce a confirmed submission under automation alone.,Yes,Retry with visual/manual control,No immediate user action required unless you want to prioritize a manual retry now.,Open
2026-07-31,Waymark,Junior Software Engineer,https://job-boards.greenhouse.io/waymark/jobs/4711827005,CAPTCHA,"The live Greenhouse form is accessible and fit the target rules, but a visible reCAPTCHA blocks safe completion.",ApplyPilot rules require stopping at CAPTCHA and handing the step to the user.,Yes,User handoff,Complete the reCAPTCHA on the live form if you want this application to continue.,Open
2026-07-31,Built Technologies,Software Engineer I - Internal Tooling,https://job-boards.greenhouse.io/getbuilt/jobs/4713164005,ATS state persistence,"The live Greenhouse form repeatedly dropped basic required fields such as First Name, Last Name, Email, and Location when the application was submitted.",The workflow could not safely produce a confirmed submission because the ATS did not preserve core field state under repeated safe retries.,Yes,Retry with visual/manual control,No immediate user action required unless you want to prioritize a manual retry now.,Open
2026-07-31,Notion,"Software Engineer, Early Career",https://jobs.ashbyhq.com/notion/297b4ece-765f-4eea-b1b8-46057cb6501f,Anti-spam / anti-bot,"The live Ashby form accepted the filled application but returned a message saying the submission was flagged as possible spam.",The workflow could not produce a confirmed submission because the site blocked the request as suspicious even though the answers were truthful.,Yes,Retry later with visual/manual control,No immediate user action required unless you want to prioritize a manual retry now.,Open
2026-07-31,Truveta,Software Engineer - Person Matching,https://job-boards.greenhouse.io/truveta/jobs/5817190004,ATS state persistence,"The first Greenhouse attempt rejected required-field state, but the retry succeeded after the user supplied the email security code and the application reached the confirmation page.",Resolved after retry with email code,No,None,None needed.,Closed
2026-07-31,IMC,"Software Engineer, Early Career",https://job-boards.greenhouse.io/imc/jobs/4577504101,Confirmation not observed,"The live Greenhouse form was completed far enough to trigger submission attempts in local Chrome, but the page never produced a confirmation or thank-you view.",ApplyPilot counts only explicit confirmation, so the role cannot be marked Submitted without a visible confirmation state.,Yes,Retry later with visual/manual control,No immediate user action required unless you want to prioritize a manual retry now.,Open
2026-07-31,NewsBreak,"AI Growth Intelligence Engineer (New Grad)",https://job-boards.greenhouse.io/newsbreak/jobs/4694899006,Confirmation not observed,"A retry fixed the earlier phone-country and degree dropdown persistence issue, but repeated local-Chrome submission attempts still never produced a confirmation or thank-you view.",ApplyPilot counts only explicit confirmation, so the role cannot be marked Submitted without a visible confirmation state.,Yes,Retry later with visual/manual control,No immediate user action required unless you want to prioritize a manual retry now.,Open
2026-07-31,PlayStation,Software Engineer I,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/6104600004,Custom flyout state persistence,"The live Greenhouse form was retried after the relocation-assistance answer was added to the profile, and a later retry also used the user-provided security code email. The code was not the blocker; Greenhouse still failed to commit several custom combobox selections, which left the submit button disabled.",ApplyPilot cannot count a submission without explicit confirmation, and the form cannot safely submit while its required custom flyout fields fail to persist under automation.,Yes,Retry later with visual/manual control or user-assisted completion,No immediate user action required unless you want to prioritize a manual retry now.,Open
2026-07-31,mthree,Junior Software Engineer,https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4622899006,CAPTCHA,"The live Greenhouse form is accessible and broadly fits the stored no-sponsorship rule, but a visible reCAPTCHA blocks safe completion.",ApplyPilot rules require stopping at CAPTCHA and handing the step to the user.,Yes,User handoff,Complete the reCAPTCHA on the live form if you want this application to continue.,Open
2026-07-31,Aquatic Capital Management,"Software Engineer, Early Career",https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489226002,CAPTCHA,"The live Greenhouse form is accessible and high-fit, but a visible reCAPTCHA blocks safe completion.",ApplyPilot rules require stopping at CAPTCHA and handing the step to the user.,Yes,User handoff,Complete the reCAPTCHA on the live form if you want this application to continue.,Open
